,Gender,10percentage,12graduation,12percentage,CollegeTier,collegeGPA,CollegeCityTier,GraduationYear,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,Salary
2979,0,83.4,2010,80.3,2,73.4,0,2014,735,530,415,0.493596387,0.2718,0.3789,0.7785,-0.7415,0.8637,1,0,0,0,300000
2980,1,70,2008,60,2,70,0,2015,440,395,440,0.735795709,1.5644,1.7109,-0.6048,-1.8824,0.4805,0,0,0,1,160000
2982,1,50,2008,62.23,2,64.4,0,2013,465,410,465,0.144789889,1.5644,0.8784,0.6248,0.9066,0.8637,1,0,0,0,180000
2983,1,80.33,2010,66.2,2,67.6,0,2014,395,520,500,0.23780284,0.4155,0.7119,0.7785,0.0192,0.2889,1,0,0,0,240000
2984,1,72.8,2008,61.33,2,70.05,1,2014,440,495,430,0.911395278,1.4208,1.0449,0.6248,-0.8682,1.0554,0,0,0,1,425000
2985,1,64.33,2008,52.9,2,61.14,1,2012,495,365,395,0.229481755,-0.1855,-0.2793,-0.9245,1.3255,-0.2875,1,0,0,0,100000
2986,1,82,2010,78,2,65.3,1,2014,745,450,430,0.661834476,-0.159,-0.4536,0.3174,0.0192,-0.4776,1,0,0,0,315000
2987,1,91,2007,90.4,2,79.7,0,2012,454,495,615,0.600057182,-0.7264,-0.7863,-0.4891,-0.4078,-0.9194,1,0,0,0,405000
2988,1,95.2,2009,91.4,1,94.6,0,2013,710,560,885,0.824666401,0.1282,0.2124,0.1637,-0.4879,0.4805,1,0,0,0,500000
2989,1,68.33,2010,82.4,2,69.4,1,2014,525,545,475,0.649389715,0.8463,0.8784,-0.6048,0.9066,0.4805,1,0,0,0,120000
2990,1,74.8,2007,75.4,2,64.19,0,2012,605,435,525,0.694479328,-1.0135,-0.2793,-0.1988,0.7493,-0.2875,1,0,0,0,345000
2991,1,88.5,2007,94.7,2,77.5,1,2011,435,555,635,0.538386893,0.8192,1.1248,1.688,-1.8179,-0.9194,1,0,0,0,175000
2993,1,88.53,2007,83.88,2,77.1,0,2012,595,585,565,0.960603252,-1.1901,-0.6693,-1.4688,0.0623,-1.3934,1,0,0,0,450000
2994,1,87.2,2008,72,2,75,0,2013,500,520,470,0.600057182,-0.7264,-0.2012,-0.598,1.7074,-1.0774,1,0,0,0,370000
2995,0,74.6,2008,83.75,2,70,1,2012,325,375,335,0.276047228,-0.1082,0.0328,-0.7794,-0.2902,0.0679,1,0,0,0,325000
2996,1,85,2010,84,2,77.7,0,2014,545,520,575,0.356536488,0.4155,0.2124,-0.9122,-0.995,-0.6692,1,0,0,0,300000
2997,1,77,2010,68,2,68,0,2014,430,640,470,0.23780284,-2.1698,-1.2861,-0.7585,2.0475,-0.2859,1,0,0,0,280000
2998,1,60,2006,50,2,69.94,0,2013,240,340,430,0.143256541,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,1,0,0,0,240000
2999,0,87,2007,94,2,74,1,2011,544,615,625,0.694479328,-1.0355,0.8128,-0.6343,-1.2303,0.0284,1,0,0,0,440000
3000,0,82.46,2009,71,2,67.81,0,2013,535,470,450,0.338786347,0.8463,0.7119,-0.1437,-0.1076,-0.0943,1,0,0,0,150000
3001,1,66.6,2007,70,2,68.98,0,2013,310,450,485,0.308400583,-0.8772,-2.4516,-1.0659,-0.2344,-2.5853,1,0,0,0,110000
3002,1,74.5,2010,62,2,63.82,0,2015,615,470,560,0.45901584,0.2718,0.7119,-0.4511,0.653,0.4805,1,0,0,0,60000
3003,0,71,2005,72,2,78,0,2011,355,375,425,0.735795709,1.1283,1.7488,1.9782,-0.1727,0.8183,0,0,0,1,400000
3004,1,67.5,2008,80.4,2,76,0,2013,630,545,620,0.911395278,-0.0154,1.3779,0.6248,-1.3753,0.0973,1,0,0,0,400000
3005,0,85,2008,73,2,77,0,2012,355,405,305,0.124502074,-0.2628,1.1248,-2.0856,-0.5253,-0.7615,1,0,0,0,100000
3007,0,72.8,2009,65.6,2,70,0,2013,545,470,380,0.112139438,1.2772,0.7119,0.7785,-1.1218,0.6721,1,0,0,0,240000
3008,1,60,2007,60,2,65.86,0,2012,415,405,345,0.216785486,-0.7264,-1.7056,0.1138,0.0623,-1.8673,1,0,0,0,205000
3009,1,72.6,2008,77.7,2,75.94,0,2012,225,485,395,0.81941653,0.7419,0.1888,0.2366,1.678,0.1864,1,0,0,0,100000
3010,1,73,2009,59,2,72.99,0,2013,275,535,560,0.945134856,-0.159,-0.1206,-0.2974,-0.7415,-0.2859,1,0,0,0,200000
3011,1,76.7,2006,80,2,77.4,1,2010,415,465,565,0.308400583,1.1283,-0.7473,0.0914,-1.2303,0.5024,1,0,0,0,300000
3012,0,85.76,2010,83.83,2,78.15,1,2014,520,630,560,0.974396113,-1.5953,-1.4859,-1.7086,-0.4879,-1.9234,1,0,0,0,315000
3013,1,80.8,2009,70.4,2,69.3,0,2013,450,450,560,0.765673581,1.5644,0.2124,-0.7585,-1.6289,-0.6692,1,0,0,0,380000
3014,1,76,2010,63,2,60,0,2014,675,640,605,0.486747008,-0.3027,1.7109,0.7785,-1.6289,1.247,1,0,0,0,240000
3015,1,82,2003,75,1,81.2,0,2010,534,375,605,0.286777806,0.6646,-0.1232,0.2366,-0.0552,0.6603,1,0,0,0,720000
3016,1,90.24,2006,81.5,2,82,0,2012,475,415,455,0.824666401,0.3555,0.6568,1.1074,-0.9953,0.9763,0,0,1,0,90000
3017,1,74,2010,69,2,65.3,0,2014,700,700,690,0.849802714,-0.159,0.8784,0.3174,0.0192,0.6721,1,0,0,0,300000
3018,1,68.3,2008,81.3,2,76,0,2013,385,435,570,0.943272158,0.1282,-0.1206,-0.9122,0.0192,0.0973,1,0,0,0,175000
3019,1,75.62,2006,59,2,83.52,1,2012,355,575,615,0.915418435,-0.1855,1.1248,0.2366,-0.17277,-0.1295,0,0,0,1,100000
3020,1,73,2008,76.2,2,61.5,0,2012,435,285,355,0.229481755,-1.0355,-3.2434,-0.9245,-0.5253,-2.3412,1,0,0,0,190000
3021,1,82.8,2006,80.4,1,80.7,0,2011,475,545,585,0.824666401,-0.1082,-1.2153,-1.3599,-0.6428,-0.1295,1,0,0,0,435000
3022,0,78,2006,82,2,61,0,2010,405,465,425,0.023312168,0.2009,0.8128,-0.344,-0.5253,0.6603,1,0,0,0,50000
3023,1,54.8,2007,61.6,2,73.3,0,2013,415,645,735,0.968237496,0.1282,-0.1206,-1.3733,-1.1218,-0.4776,0,0,0,1,145000
3024,0,72.8,2008,63,2,73.6,1,2014,560,580,620,0.486747008,0.1282,-0.2871,-0.2974,-1.3753,0.6721,0,0,0,1,200000
3025,0,68,2009,64,2,70,0,2013,465,335,355,0.450876584,0.9737,0.6568,0.672,1.3549,0.6603,1,0,0,0,250000
3026,0,93.6,2007,86.4,2,77.7,0,2012,605,635,525,0.793580615,-0.5719,0.1888,-0.4891,-0.40777,-0.643,1,0,0,0,500000
3027,1,90.4,2010,89.8,2,86,1,2014,665,545,655,0.991230625,0.4155,0.7119,-1.0659,-0.8682,-0.6692,1,0,0,0,325000
3028,1,92.5,2010,77.6,2,78.3,0,2014,430,510,605,0.978799293,0.4155,0.3789,-0.1437,-1.1218,0.4805,1,0,0,0,230000
3029,1,82.2,2009,82.4,2,73,0,2013,515,565,505,0.607034038,0.6646,1.4368,-0.344,-1.1128,0.3049,1,0,0,0,245000
3030,1,82.2,2010,69.8,2,62.2,0,2014,520,560,650,0.20739217,-1.1644,0.0459,1.2396,1.9207,-0.2859,1,0,0,0,240000
3031,0,78,2007,66.67,2,64.67,1,2013,365,464,375,0.23780284,-1.1644,-0.1206,-0.2974,-1.2486,0.8637,0,0,0,1,160000
3032,0,73,2009,76,2,78.9,1,2013,510,450,665,0.538386893,-0.0154,-0.7866,-0.4511,-1.8824,1.247,1,0,0,0,325000
3033,0,73.83,2005,72,2,72,0,2011,485,375,445,0.488347977,-0.5719,0.5008,0.3817,0.6498,-0.7615,0,0,0,1,100000
3034,1,86.33,2009,85.8,1,79.8,1,2013,570,555,780,0.998680246,-0.0154,-0.1206,0.01,0.0192,-0.0943,1,0,0,0,335000
3036,1,68.6,2008,59.2,2,67.9,0,2017,275,350,400,0.163630927,1.4208,1.3779,1.0859,-1.7556,0.8637,1,0,0,0,180000
3037,1,81.86,2008,67.74,2,72.22,0,2012,445,435,575,0.538386893,0.3555,0.6568,0.2366,1.1199,-0.0506,1,0,0,0,350000
3038,1,56,2007,62,2,69,0,2011,355,425,555,0.824666401,0.6646,-0.7473,0.3817,-0.1727,0.3444,1,0,0,0,420000
3039,1,88,2006,78,1,54,1,2010,615,605,605,0.600057182,-1.1901,-0.9033,-0.6343,0.1798,-0.7615,1,0,0,0,325000
3040,0,68,2008,74,2,76,0,2014,360,545,520,0.744758354,-0.0154,-0.7866,0.7785,0.9066,0.4805,0,0,0,1,200000
3041,0,86.8,2009,91.7,2,79.75,1,2013,650,585,735,0.694479328,0.99,0.8784,-0.1437,-0.8682,-0.6692,1,0,0,0,335000
3042,1,65,2008,61,2,69.9,0,2012,485,475,620,0.735795709,0.2718,0.7119,1.8543,-0.7415,1.0554,1,0,0,0,240000
3043,1,55.5,2007,59.38,2,64.4,0,2011,485,495,575,0.81941653,-0.4173,1.1248,-1.2148,-0.0552,0.3444,1,0,0,0,250000
3044,1,78,2008,73.4,2,69,1,2013,850,680,735,0.998876108,1.1336,0.7119,0.9322,-1.1218,-0.6692,1,0,0,0,360000
3045,1,84.8,2006,85.8,2,67,1,2012,475,605,605,0.229481755,0.0464,-0.1232,-1.0697,1.0024,-0.2875,1,0,0,0,180000
3046,1,71.17,2008,61.2,2,64.4,0,2014,360,525,650,0.20739217,-0.3027,0.0459,0.1637,0.0192,-0.2859,1,0,0,0,150000
3047,1,59,2010,55,2,66,0,2015,325,410,370,0.328746379,-3.1752,-0.1206,0.4711,1.6672,0.4805,1,0,0,0,95000
3048,1,87,2010,76.8,2,69.93,0,2014,720,620,500,0.938399137,-0.4463,-0.1206,-0.1437,0.9066,-1.8189,1,0,0,0,225000
3049,1,58.5,2005,67.4,2,72,0,2010,405,595,625,0.960603252,-1.0355,0.1888,0.8171,-1.4653,0.1864,1,0,0,0,420000
3050,1,77.6,2008,72.6,2,63.22,0,2012,475,645,735,0.864685413,-1.1644,-0.2871,-1.2196,2.4278,0.0973,1,0,0,0,260000
3051,1,83.66,2008,93.9,2,73.31,1,2012,485,640,735,0.930370607,1.2056,0.9688,-0.4891,-0.6134,0.0284,1,0,0,0,360000
3052,1,89.4,2010,94.5,2,74,0,2014,490,445,405,0.080055281,1.9953,1.5444,-1.2196,-1.7556,1.247,1,0,0,0,205000
3053,1,91.68,2009,69.16,2,66,1,2013,555,610,590,0.987207086,-0.5899,0.0459,0.7785,-0.995,-0.0943,1,0,0,0,350000
3054,1,69.3,2006,89.6,2,74,0,2012,405,455,555,0.670743151,-0.2628,0.2668,0.5994,-0.2902,-1.0774,0,0,0,1,500000
3055,1,81.6,2009,76.4,2,72.65,0,2013,450,525,720,0.243208657,-1.308,0.3789,0.4711,-0.6147,-0.0943,1,0,0,0,335000
3056,1,89.9,2008,90.1,2,74.5,1,2012,525,455,515,0.488347977,0.9737,0.9688,-1.0334,-1.4653,-0.2875,1,0,0,0,335000
3057,1,84,2010,81,2,75,0,2014,755,570,570,0.953899775,-0.3027,0.7119,-0.1437,-0.7415,-1.4356,1,0,0,0,180000
3058,1,77.2,2008,79.8,1,74,0,2012,415,450,500,0.450876584,-0.4463,-0.1206,-0.4511,0.653,-0.2859,1,0,0,0,180000
3059,1,86.4,2009,95.8,2,84.85,1,2013,485,665,705,0.376059587,0.2718,-0.7866,-0.4511,-0.8682,-2.2021,1,0,0,0,300000
3060,1,69,2005,58,2,61,0,2010,565,535,545,0.765673581,-1.4992,0.9688,-0.344,0.5323,0.3444,1,0,0,0,330000
3061,0,70,2007,67,2,72.89,0,2013,370,425,430,0.144789889,0.4155,0.3789,1.0859,0.2727,0.2889,1,0,0,0,220000
3062,0,85.67,2007,75.67,2,66.67,0,2011,464,475,445,0.735795709,0.51,0.1888,-0.344,0.0623,0.3444,1,0,0,0,250000
3063,1,79.5,2007,77.8,2,69.88,0,2012,535,404,535,0.670743151,-0.881,0.3448,-0.0537,-0.5253,0.8183,1,0,0,0,350000
3064,1,64,2007,71,2,68,0,2013,405,505,440,0.622642916,1.4208,-0.6201,0.4711,-2.0092,-1.4356,0,0,0,1,120000
3065,1,94,2006,83,2,69,0,2010,495,455,495,0.229481755,-0.7264,-0.5913,1.9782,-0.0552,1.2923,1,0,0,0,185000
3066,1,73.2,2007,74.6,2,76.75,0,2011,450,560,470,0.735795709,0.5591,-0.6201,-0.4511,-0.4879,0.2889,1,0,0,0,150000
3067,0,62.6,2010,68.04,2,71.1,0,2014,545,495,415,0.356536488,-0.3027,0.7119,-1.6807,-0.1076,0.8637,1,0,0,0,220000
3068,1,65.41,2008,77.81,2,74.32,0,2014,360,410,385,0.793580615,-0.159,-0.4536,0.4711,0.5262,-0.0943,0,0,0,1,120000
3069,0,82,2010,83.3,2,76.97,1,2014,545,450,530,0.704090412,0.99,1.2114,0.7785,0.3995,0.6721,1,0,0,0,240000
3070,0,90,2009,89.26,2,71,0,2013,605,545,585,0.783303537,0.8463,0.3789,1.0859,-1.7556,-0.0943,1,0,0,0,325000
3071,1,83.2,2007,61.4,2,58,0,2012,515,445,565,0.206710618,-1.1901,0.6568,0.2366,-0.2902,-0.2875,1,0,0,0,305000
3072,1,80,2008,63.83,2,76.44,0,2013,500,555,470,0.942116551,-0.4173,0.8128,-1.5051,0.0623,-0.5245,1,0,0,0,360000
3073,1,57.5,2004,68.8,2,67.8,0,2012,355,265,465,0.563267824,0.3555,-0.9033,-1.0697,0.5323,-1.3934,0,0,0,1,145000
3074,1,72,2007,73.6,2,72.19,0,2012,404,495,554,0.755375121,-0.2628,0.6568,-1.6502,-1.1128,0.5024,1,0,0,0,400000
3075,1,91.62,2010,74.71,2,72.9,1,2014,605,485,655,0.622642916,0.4155,0.7119,0.4711,-1.2486,0.6721,1,0,0,0,325000
3076,1,88.16,2008,92.5,2,61.2,0,2012,495,575,625,0.983749967,1.4374,1.9048,0.9623,0.4442,0.5024,1,0,0,0,490000
3078,1,79,2007,83.4,2,73.3,0,2012,425,515,595,0.600057182,1.4374,0.9688,0.8171,0.4442,0.9763,1,0,0,0,150000
3079,1,88.4,2010,61.8,1,75.5,1,2014,475,415,415,0.758379883,-0.8772,1.5444,1.2396,-1.1218,1.247,1,0,0,0,325000
3080,1,82.4,2010,81.2,2,69,0,2014,535,470,585,0.622642916,0.99,1.0449,0.6248,-0.8682,-1.6273,1,0,0,0,75000
3081,0,83,2008,82,2,73.5,0,2012,485,465,565,0.765673581,-2.4266,-1.0593,-2.0856,-0.4078,-1.2354,1,0,0,0,375000
3082,0,72.5,2007,53.2,2,68,1,2013,510,495,405,0.8295846,0.1282,-0.4536,0.3174,0.9066,-0.0943,1,0,0,0,150000
3083,1,93,2010,94,2,80,1,2014,525,470,570,0.978799293,0.4155,-0.7866,-0.2974,0.9066,-0.2859,1,0,0,0,450000
3084,0,92.32,2010,84.5,2,83,0,2014,500,375,310,0.493596387,1.7081,1.2114,0.1637,-1.1218,1.247,1,0,0,0,180000
3085,1,92,2010,90,2,75,0,2014,535,630,515,0.911395278,1.5644,-0.4536,1.3933,-2.643,1.247,1,0,0,0,375000
3086,1,87,2008,73,2,75,0,2012,685,395,464,0.563267824,-1.3447,0.0328,-0.4891,0.2973,0.0284,1,0,0,0,325000
3087,0,74,2010,78,2,75,0,2014,415,545,510,0.486747008,1.2772,1.2114,0.01,-1.1218,0.4805,1,0,0,0,180000
3088,0,77,2008,73.67,2,79,0,2012,585,625,555,0.670743151,0.0464,0.8128,-1.3599,-0.17277,0.1864,1,0,0,0,500000
3089,1,79,2009,69,2,62,1,2013,500,475,385,0.377551419,-0.8772,0.5454,1.8543,2.6814,-1.0524,1,0,0,0,180000
3090,1,87.6,2008,86.4,2,73.12,0,2012,325,325,405,0.216785486,-1.9629,-0.0842,-0.598,1.00233,-0.2875,1,0,0,0,160000
3091,1,68,2009,72,2,70,1,2013,440,425,415,0.622642916,-0.5899,-0.6201,0.1637,0.1459,-0.6692,1,0,0,0,300000
3092,1,84.2,2006,78.2,2,72.52,0,2011,665,575,645,0.824666401,1.1283,1.1248,-0.0537,-1.1128,-0.1295,1,0,0,0,200000
3093,1,69.83,2008,53.85,2,66.88,1,2013,450,410,400,0.377551419,-0.159,0.0459,0.01,0.2727,0.4805,1,0,0,0,180000
3094,1,83.67,2006,73.67,2,72.7,0,2010,645,495,615,0.538386893,-0.2628,0.8128,1.3977,1.0024,1.1343,1,0,0,0,900000
3096,1,91.6,2009,86.6,2,72,0,2013,695,520,680,0.824666401,0.0464,1.5928,-0.6343,-1.671,0.0284,1,0,0,0,370000
3097,1,70,2008,70,2,69,0,2014,380,595,515,0.3423149,-1.4517,-0.1206,0.9322,-0.1076,-1.0524,0,0,0,1,200000
3098,0,87.4,2008,79,2,78.7,0,2013,590,630,750,0.376059587,0.5591,0.3789,0.3174,-1.1218,-1.4356,1,0,0,0,250000
3099,1,74,2009,78,2,72,0,2014,730,620,650,0.974396113,-0.3027,1.3779,1.0859,0.0192,0.4805,1,0,0,0,305000
3100,1,75,2009,70,2,72,0,2013,495,605,545,0.356536488,-0.6491,0.5008,0.5269,0.53233,0.6603,1,0,0,0,200000
3101,1,86,2007,85.2,2,68.2,0,2012,580,555,705,0.901489571,0.9737,1.1248,-0.344,-1.3478,0.7788,1,0,0,0,300000
3102,0,86.8,2010,78.6,2,77.4,0,2014,570,485,355,0.493596387,0.99,1.5444,-0.6048,-0.4879,0.4805,1,0,0,0,325000
3103,1,85.2,2006,79.4,2,70,0,2010,585,595,575,0.81941653,-0.5719,-0.1232,-0.1988,-0.4078,-0.7615,1,0,0,0,390000
3104,0,69.92,2006,65.54,2,57.66,1,2010,475,375,415,0.3423149,-1.1901,1.1248,1.3977,0.1798,0.1864,1,0,0,0,530000
3105,1,54.5,2008,57.5,2,60,0,2012,375,345,355,0.229481755,-0.1082,0.2668,1.1437,1.2374,-0.2875,1,0,0,0,360000
3106,0,75,2007,64,2,64,1,2013,625,445,385,0.600057182,-2.272,-0.4353,-0.6343,1.7074,-1.2354,0,0,0,1,240000
3107,0,90,2010,90,2,74.36,0,2014,595,495,510,0.792936278,1.2772,1.5444,2.1617,-0.1076,0.8637,1,0,0,0,305000
3108,1,85.8,2010,83,1,91,0,2014,555,545,590,0.649389715,-0.159,0.5454,0.4711,-1.1218,-0.6692,1,0,0,0,300000
3109,1,69,2010,69,2,71,0,2014,510,475,400,0.298769129,1.1336,1.0449,0.7785,-2.3895,-0.2859,1,0,0,0,310000
3110,1,73,2008,76,2,74,1,2013,465,570,415,0.356536488,-1.5953,-0.1206,0.3174,0.2727,-1.4356,1,0,0,0,60000
3112,1,58,2005,60,2,66,0,2011,345,335,445,0.229481755,-0.9969,-0.2793,0.8171,1.50173,0.3444,1,0,0,0,325000
3113,1,53,2008,62,2,69,0,2014,500,360,330,0.649389715,-0.159,-0.1206,0.4711,0.7798,0.6721,1,0,0,0,145000
3114,1,85.5,2010,58.2,2,63.2,0,2014,535,340,380,0.299597296,-0.159,0.3789,0.9322,-0.995,0.0973,1,0,0,0,305000
3115,1,52.5,2004,51.6,1,66.66,1,2010,475,445,585,0.538386893,-0.5719,0.3448,-0.0537,1.3549,1.1343,1,0,0,0,320000
3116,1,88.66,2010,87.5,2,77,1,2014,430,385,370,0.144789889,0.4155,0.0459,-0.9122,-0.995,0.2889,1,0,0,0,140000
3117,1,85,2009,67.8,2,59,0,2014,510,500,455,0.649389715,1.1336,0.0459,0.6248,-1.6289,1.4386,1,0,0,0,175000
3118,1,74.6,2008,80.8,2,63.8,1,2012,365,385,415,0.413838256,-1.9243,0.1888,0.3817,0.973,0.3444,1,0,0,0,330000
3119,1,72,2010,56,2,63,0,2014,310,245,355,0.23780284,-0.7335,-2.9511,-0.9122,-0.3612,-5.8428,1,0,0,0,95000
3120,1,87,2010,84,1,75,0,2014,545,485,545,0.338786347,0.1282,0.2124,-1.527,1.0333,-0.0943,1,0,0,0,300000
3121,1,73,2008,61,2,72,1,2013,555,495,575,0.124502074,-0.7335,0.0459,-0.2974,-0.3612,-0.0943,1,0,0,0,325000
3122,1,66.5,2007,68.77,2,77.04,0,2014,430,570,470,0.356536488,-0.1982,0.1125,0.6388,1.4136,1.6302,0,0,0,1,105000
3123,0,73,2005,71.3,2,79.7,1,2011,545,665,435,0.901489571,-1.4992,1.1248,-1.2148,0.1798,0.6603,0,0,1,0,400000
3124,1,84.3,2009,86.5,2,68.87,0,2013,580,580,560,0.229481755,-1.0355,0.6568,0.8171,0.8848,0.4234,1,0,0,0,380000
3125,1,77.6,2007,77.8,2,72,0,2012,555,620,750,0.884122512,-0.0696,1.2808,-0.1988,-0.2609,0.3444,1,0,0,0,180000
3126,1,56.4,2006,72,2,64,0,2010,305,395,455,0.654107475,0.2009,-0.9033,0.3817,0.2973,0.3444,1,0,0,0,1210000
3127,0,92,2007,86.29,2,77.14,0,2010,485,475,495,0.910770164,-0.4173,1.5928,-0.9245,0.6498,0.3444,1,0,0,0,75000
3128,1,92.4,2010,88.75,2,87.8,1,2014,570,445,485,0.486747008,0.1282,-0.2871,1.0859,-0.4879,-0.6692,1,0,0,0,335000
3129,1,54.6,2010,49.6,2,61.38,0,2014,335,425,620,0.783303537,0.7027,-0.6201,-1.0659,0.653,-0.6692,1,0,0,0,180000
3130,1,87,2010,71,2,68,0,2014,510,495,345,0.842248322,1.5644,1.5444,1.3933,-1.3753,1.0554,1,0,0,0,180000
3131,0,73.8,2009,92.9,2,71.9,1,2013,545,520,545,0.206710618,0.5591,1.0449,1.2396,-0.8682,0.0973,1,0,0,0,345000
3132,1,67,2010,50,2,55,0,2015,335,385,345,0.356536488,0.1282,0.2124,0.7785,0.653,0.8637,0,0,0,1,180000
3133,1,65,2007,69,2,67.4,0,2011,415,515,605,0.376059587,-2.272,-1.2153,0.0914,1.0024,-0.2875,1,0,0,0,200000
3134,1,73.4,2010,74.4,2,61.2,1,2014,650,440,445,0.486747008,-0.5899,-1.6191,-0.7585,-0.4879,-3.3518,1,0,0,0,315000
3135,0,68.3,2008,82,2,73.74,0,2012,615,450,485,0.735795709,1.7852,1.4368,-0.0537,0.3561,0.3444,1,0,0,0,405000
3136,1,62,2008,60.2,2,68.3,0,2013,500,580,380,0.486747008,0.7027,-0.2871,1.0859,-1.3753,0.2889,1,0,0,0,240000
3137,0,70,2008,70,2,72,0,2012,615,445,505,0.600057182,-1.9629,0.1498,-0.7068,0.0623,0.0284,1,0,0,0,210000
3138,0,92.2,2009,94.3,1,88.1,1,2013,660,470,810,0.945134856,1.7081,0.3789,0.7785,-0.4879,0.4805,1,0,0,0,550000
3139,1,83.2,2007,77.33,2,75.67,1,2011,655,415,485,0.376059587,-0.4173,0.1888,-0.344,-1.4653,-0.6035,1,0,0,0,490000
3140,0,78.61,2009,76.33,2,63,0,2013,485,475,445,0.81941653,-1.4992,-0.5523,1.1437,-0.6428,0.1864,1,0,0,0,400000
3141,1,85.2,2005,72.4,2,66.13,0,2010,625,595,605,0.704090412,-2.272,-0.5913,-2.6662,0.7673,0.1864,1,0,0,0,450000
3142,1,71,2009,75.69,2,62.3,1,2014,440,470,555,0.842248322,1.9953,0.5121,0.9322,-0.2344,0.585,1,0,0,0,325000
3143,1,88.4,2009,74.6,2,78.52,0,2014,630,580,535,0.486747008,-0.3027,-1.6191,-2.1418,-0.4879,-0.4776,1,0,0,0,325000
3144,1,70.2,2004,61.2,2,72.98,0,2010,455,635,655,0.910770164,-1.4992,0.5008,0.672,-0.9953,-0.1295,1,0,0,0,400000
3145,1,85,2009,74.4,1,63,0,2014,475,575,605,0.486747008,-2.3134,-0.1206,1.7007,1.0333,-0.4776,1,0,0,0,325000
3146,1,90,2008,94.5,2,72,1,2012,365,395,455,0.824666401,-0.881,-0.6693,-1.2511,-0.6428,-1.0774,1,0,0,0,325000
3147,1,77.8,2007,58.8,2,73.3,0,2012,425,465,515,0.81941653,-1.3447,0.1498,-0.2714,0.2973,-0.4455,1,0,0,0,300000
3148,1,73.5,2007,71.85,2,65.44,0,2011,365,495,505,0.694479328,1.2828,0.8128,1.2525,-0.2902,0.8183,1,0,0,0,180000
3149,1,76.4,2006,66,2,87,0,2010,485,425,395,0.670743151,0.9737,1.7488,1.1074,-0.4078,0.5024,1,0,0,0,650000
3150,0,71,2009,64,2,81,1,2013,615,455,355,0.486747008,-3.8933,-5.6151,-3.9861,-0.8682,-6.6092,1,0,0,0,145000
3151,1,81,2006,86.1,2,98.4,0,2010,454,495,464,0.910770164,0.9737,0.6568,0.2366,-1.1128,0.1864,1,0,0,0,380000
3152,0,82,2009,79,2,74,1,2013,475,375,545,0.356536488,0.8463,-0.7866,1.2396,-0.4879,1.4386,1,0,0,0,300000
3153,1,66.66,2005,80.4,2,64.29,0,2011,525,505,575,0.901489571,0.0464,0.3448,-0.344,-0.1727,-0.1295,1,0,0,0,80000
3154,1,73.8,2010,60.2,2,58,0,2014,520,570,485,0.486747008,-2.3134,0.8784,0.01,0.7798,-1.6273,1,0,0,0,120000
3155,1,77,2008,65,2,65,0,2012,465,350,310,0.563267824,-0.3027,-1.7856,-2.4491,-0.4879,-3.1602,1,0,0,0,180000
3156,0,84.5,2010,93.8,2,82,0,2014,560,545,620,0.943272158,0.8463,1.5444,0.6248,-2.0092,0.4805,1,0,0,0,340000
3157,0,72.4,2009,63.6,2,65,0,2013,290,285,270,0.486747008,-1.4517,-2.6181,-2.2954,-0.4879,-3.9266,1,0,0,0,85000
3158,1,70,2006,62,2,63.3,0,2012,350,485,485,0.744758354,0.5591,0.5454,-0.1437,0.9066,0.8637,1,0,0,0,180000
3159,1,72,2006,72,2,64.45,0,2010,495,245,425,0.376059587,-0.881,0.1888,-0.1988,-1.2303,0.3444,1,0,0,0,130000
3160,1,83,2007,71.4,2,68.1,0,2012,425,505,515,0.704090412,1.3215,0.9688,0.0914,0.4442,0.0284,1,0,0,0,450000
3161,1,75,2008,73,2,66,0,2013,360,400,575,0.276047228,-0.0154,-0.6201,-0.2974,0.5262,-0.0943,1,0,0,0,120000
3162,1,69.53,2009,66.17,2,63.6,0,2013,415,400,560,0.755375121,0.7027,-1.2861,0.4711,-0.3612,0.6721,1,0,0,0,220000
3163,0,77.8,2010,73.6,2,75.5,0,2014,405,385,235,0.23780284,0.99,-1.1196,-0.6048,-0.8682,0.8637,1,0,0,0,215000
3164,1,71.2,2009,72,2,76.9,0,2014,430,530,630,0.996744487,0.7027,1.0449,-0.6048,-0.2344,0.2889,1,0,0,0,265000
3165,1,84.33,2009,93.8,2,73.7,0,2013,405,475,855,0.992259189,0.1282,-0.6201,-0.2974,-1.7556,-0.6692,1,0,0,0,410000
3166,1,89.12,2010,57.5,2,70,0,2014,380,620,520,0.8295846,1.1336,0.5454,-0.9122,-0.8682,-0.2859,1,0,0,0,120000
3167,1,75.71,2004,53.44,2,79.6,0,2012,305,555,645,0.901489571,0.3941,0.1888,-0.0537,0.1798,0.0284,0,0,0,1,310000
3168,1,67,2008,59.4,2,67.46,0,2013,275,315,445,0.538386893,0.2718,-1.1196,-0.6048,-1.3753,-1.6273,1,0,0,0,255000
3169,1,71.84,2010,66.83,2,70.35,0,2016,640,615,585,0.974396113,0.1282,0.2124,-0.9122,1.0333,-0.0943,1,0,0,0,325000
3170,0,92,2010,95,2,83,1,2014,720,605,605,0.88162007,-1.1644,-0.1206,0.4711,0.2727,-0.0943,1,0,0,0,235000
